detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,0.00887,0.11643,1.467119,0.01734,0.05,88.4,2021,,8.0761,0.323,0.328,,3340.0
Primary Transit,0.01532,0.13641,1.2089765,0.01866,0.0,85.8,2017,,30.3,0.659,0.651,,4255.0
Primary Transit,0.00604,0.107,3.648086,0.03896,,87.8,2017,,30.3,0.659,0.651,,4255.0
Primary Transit,0.01076,0.17441,6.20183,0.0555,0.0,87.39,2017,,30.3,0.659,0.651,,4255.0
Primary Transit,0.00494,0.0919,12.76144,0.066,,89.12,2024,,12.162,0.241,0.269,7.0,3253.0
Primary Transit,19.7,1.47,1.744579,0.0338,0.0,79.9,2020,,,1.68,1.56,0.27,7000.0
Primary Transit,0.46,1.045,3.722469,0.0439,0.0,89.8,2008,,125.0,0.82,0.81,11.2,4980.0
Primary Transit,0.0736,0.389,4.887802443,0.053,0.265,89.05,2009,198.0,37.89,0.809,0.683,6.5,4780.0
Primary Transit,0.210489884529,0.949,3.2130598,0.0384,0.0,,2009,,142.5,0.73,0.7,2.5,4650.0
Primary Transit,0.9,1.44,2.916415,0.045,0.0142,82.43,2009,223.0,214.0,1.22,1.56,5.0,5638.0
Primary Transit,2.444,1.01,4.627686,0.0606,0.095,84.1167,2010,99.0,205.0,1.386,1.468,1.3,6600.0
Primary Transit,1.946,1.072,10.863502,0.0964,0.19,89.1,2010,262.0,190.0,1.013,1.08,6.8,5568.0
Primary Transit,4.193,1.289,2.77596,0.0413,0.036,86.6,2010,214.0,235.0,1.218,1.237,2.0,6158.0
Primary Transit,0.571,0.98,10.3385308,0.0828,0.346,89.35,2010,201.0,90.0,0.857,0.837,7.8,5246.0
Primary Transit,0.183,0.947,5.508029,0.0559,0.106,88.79,2010,120.0,166.0,0.77,0.717,12.4,4870.0
Primary Transit,0.292,1.132,4.008784,0.0466,0.067,88.51,2010,256.0,215.0,0.842,0.82,8.8,4990.0
Primary Transit,0.525,1.319,4.46529976,0.05561,0.067,85.634,2006,360.0,139.0,1.151,1.174,3.6,5980.0
Primary Transit,7.246,0.867,2.875317,0.0361,0.015,81.9,2010,317.0,70.0,0.756,0.694,6.7,4595.0
