detection_type,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,discovered,omega,star_distance,star_mass,star_radius,star_age,star_teff
Primary Transit,,0.9296,20.04169,0.116,,,2024,,113.903,0.517,0.52,,3560.0
Primary Transit,,0.6486,0.6256828,0.012,,,2024,,161.939,0.582,0.593,,3718.0
Primary Transit,,0.2552,1.483396,0.0174,,,2024,,55.5784,0.318,0.336,,3518.0
Primary Transit,,0.8413,0.6806129,0.0125,,,2024,,116.827,0.5583,0.5647,,3469.0
Primary Transit,,0.4202,5.16951,0.043,,,2024,,89.784,0.396,0.4037,,3583.0
Primary Transit,0.0604,0.554,4.21285367,0.0622,0.406,,2023,12.3,555.5,1.21,3.23,7.2,4694.0
Primary Transit,,0.3131,3.685504,0.04641,0.04,88.2,2024,-61.0,214.1,0.992,0.909,0.061,5638.0
Primary Transit,,0.5023,6.210291,0.06572,0.013,87.79,2024,,214.1,0.992,0.909,0.061,5638.0
Primary Transit,3.2,1.188,1.44044527,0.02065,,84.35,2024,,90.64,0.563,0.5299,7.4,3572.0
Primary Transit,12.74,1.026,69.048,0.33,0.018,,2024,126.3,,,,,
Primary Transit,0.01271,0.1294,2.470498,0.0346,0.0,,2024,,52.62,0.91,0.92,,5475.0
Primary Transit,0.0532,0.256,9.139703,0.09103,0.18,87.53,2023,242.0,128.7,1.204,1.264,2.3,6146.0
Primary Transit,0.032,0.20198,4.11412,0.052,0.179,85.908,2021,110.0,82.2,0.94,0.84,2.5,5328.0
Primary Transit,0.0425,0.2308,6.443868,0.06152,0.047,87.71,2022,120.0,68.81,0.748,0.726,,4734.0
Primary Transit,0.0079,0.23651,12.226574,0.09429,0.088,88.455,2022,25.0,68.81,0.748,0.726,,4734.0
Primary Transit,0.03131,0.15978,0.6047328,0.0118,,,2022,,61.5,0.6,0.58,,3921.0
Primary Transit,,0.25765,9.188526,,0.18,88.13,2022,,79.56,1.08,1.0,0.027,5881.0
Primary Transit,,0.2311,13.900148,,0.3,88.24,2022,,79.56,1.08,1.0,0.027,5881.0
Primary Transit,,0.285,10.18271,0.113,0.2,88.2,2021,138.0,105.1,1.21,1.19,0.25,6200.0
Primary Transit,3.35,1.3,4.0782387,0.0561,0.025,88.63,2022,,283.61,1.35,1.81,2.6,6311.0
Primary Transit,0.0623,0.3265,4.074554,0.0453,0.05216,87.5,2020,144.11,58.26,0.684,0.687,8.2,4250.0
Primary Transit,1.057,1.16,8.3501898,0.0731,0.0398,87.61,2020,182.5,58.26,0.684,0.687,8.2,4250.0
Primary Transit,0.06428,0.8,8.027729,0.082,0.07,89.6,2024,-95.0,113.92,1.125,1.16,,6122.0
Primary Transit,0.011,0.17,4.17278,0.05106,0.027,86.44,2022,25.0,84.536,1.022,0.968,0.7,5770.0
Primary Transit,0.01988,0.25685,6.2574,0.0669,0.11,88.8,2022,70.0,84.536,1.022,0.968,0.7,5770.0
Primary Transit,0.02627,0.4128,12.5199,0.1062,0.042,89.2,2022,-67.0,84.536,1.022,0.968,0.7,5770.0
Primary Transit,0.0191,0.23544,18.802,0.139,0.055,89.3,2022,-70.0,84.536,1.022,0.968,0.7,5770.0
Primary Transit,0.02586,0.3462,26.3213,0.174,0.003,89.38,2022,-51.0,84.536,1.022,0.968,0.7,5770.0
Primary Transit,0.038,0.2257,39.544,0.229,0.04,89.7,2022,-84.0,84.536,1.022,0.968,0.7,5770.0
Primary Transit,0.0821,0.723,7.06387,0.07,0.03,87.3,2024,87.3,132.35,0.91,0.93,8.7,5350.0
Primary Transit,0.031,,9.686753,0.082,0.0,,2024,,72.024,0.75,0.727,,4700.0
Primary Transit,1.18,1.3,2.103195,,,87.0,2022,,,1.38,1.9,2.59,6260.0
Primary Transit,0.0214,0.215,5.748432,0.056,0.0,,2024,,58.59,0.71,0.69,,4534.0
Primary Transit,0.456,0.767,2.310644,0.0343,0.076,84.0,2023,76.7,148.5,1.0,0.963,,5340.0
Primary Transit,0.239,0.938,3.671463,0.04988,0.03,,2024,57.0,247.0,1.23,1.45,4.2,5710.0
Primary Transit,0.01976,0.21545,2.4919863,0.0287,0.0,88.11,2021,,37.636,0.512,0.508,,3476.0
Primary Transit,3.5,0.2596,91.68278,0.39,0.21,89.75,2022,108.0,,1.03,0.993,,5700.0
Primary Transit,,0.187,4.1782745,0.0355,,89.2,2024,,37.28,0.4,0.404,0.21,3326.0
Primary Transit,,0.2569,17.945466,,0.0,,2024,,37.28,0.4,0.404,0.21,3326.0
Primary Transit,0.0277,0.2427,5.07803,0.0392,,88.4,2020,,62.23,0.312,0.334,,3403.0
Primary Transit,0.0485,0.3256,24.245586,0.1288,0.087,89.73,2021,176.0,27.4932,0.485,0.476,,3562.0
Primary Transit,0.0186,0.15113,3.444717,0.03826,,88.9,2020,,39.68,0.63,0.619,0.8,3997.0
Primary Transit,0.01183,0.1079,0.764597,0.0139,0.25,86.51,2021,,70.6424,0.59,0.58,0.8,4089.0
Primary Transit,0.02618,0.1882,3.294736,0.037,0.15,88.38,2021,,70.6424,0.59,0.58,0.8,4089.0
Primary Transit,0.0208,0.2025,6.4003,0.061,0.0,,2024,,102.55,0.73,0.72,,4600.0
Primary Transit,0.0255,0.2685,4.30744,0.049,,87.9,2022,,170.7,0.87,0.86,,5141.0
Primary Transit,0.0277,0.2239,5.904144,0.061,,89.3,2022,,170.7,0.87,0.86,,5141.0
Primary Transit,0.0167,0.3131,18.6559,0.131,,89.5,2022,,170.7,0.87,0.86,,5141.0
Primary Transit,0.0466,0.3372,37.9216,0.211,,89.3,2022,,170.7,0.87,0.86,,5141.0
Primary Transit,0.0179,0.2239,15.92346,,0.42,,2019,,73.8713,1.02,1.076,,5712.0
Primary Transit,0.0374,0.2899,13.079151,0.109,0.0,,2024,,139.49,0.95,1.0,,5453.0
Primary Transit,0.441,1.022,3.47797926,0.0407,0.0,89.7,2021,,118.1,0.744,0.711,4.8,4775.0
Primary Transit,0.0299,0.2432,4.65382,0.05186,0.194,88.92,2019,323.0,111.4,0.859,0.848,6.8,5320.0
Primary Transit,0.02086,0.24614,9.15059,0.0814,0.066,88.54,2019,70.0,111.4,0.859,0.848,6.8,5320.0
Primary Transit,0.0428,0.2614,19.98,0.137,0.168,88.795,2019,46.0,111.4,0.859,0.848,6.8,5320.0
Primary Transit,0.02693,0.215,3.127463,0.0367,0.0,89.03,2021,,73.41,0.66,0.65,,4227.0
Primary Transit,0.0415,0.2462,7.493134,0.0657,0.0,87.97,2021,,73.41,0.66,0.65,,4227.0
Primary Transit,0.03725,0.2783,16.608,0.1116,0.0,89.14,2022,,73.41,0.66,0.65,,4227.0
Primary Transit,0.01381,0.2337,10.894841,0.0728,0.22,89.13,2020,,36.05,0.45,0.42,7.9,3600.0
Primary Transit,0.00934,0.19,18.801611,0.1047,0.34,89.15,2020,,36.05,0.45,0.42,7.9,3600.0
Primary Transit,0.29,0.82,8.1577094,0.072,0.09,88.98,2022,338.0,110.0,0.96,0.92,0.29,5200.0
Primary Transit,0.0201,0.2025,4.2529913,0.05,0.0,,2024,,172.14,,,,5517.0
Primary Transit,0.0774,0.3693,3.31599,0.0412,0.338,,2022,123.6,,,,,
Primary Transit,0.222,0.99,4.631296,0.0549,0.055,,2024,108.0,176.0,1.06,1.06,3.1,5690.0
Primary Transit,18.5,1.09,14.47567,0.095,0.013,88.3,2021,244.0,75.47,0.55,0.573,,3799.0
Primary Transit,0.0334,0.2373,9.614216,0.0847,,,2023,,107.055,0.96,0.84,,5477.0
Primary Transit,0.132,0.4675,2.6998,0.0429,0.064,88.3,2019,139.0,114.7,0.89,1.01,,5225.0
Primary Transit,,0.1981,4.9404681,0.054,,,2024,,68.47,0.85,1.13,,6060.0
Primary Transit,0.1957,0.8199,3.91529,0.0489,0.07,,2024,,332.648,1.02,1.581,6.1,5714.0
Primary Transit,1.42,1.4,3.1968838,0.047,0.024,,2024,80.0,388.23,1.32,1.74,,6269.0
Primary Transit,0.298,1.231,3.9443715,0.0497,0.055,,2021,137.0,313.7,1.17,1.664,6.9,5603.0
Primary Transit,0.356,0.841,4.537164,0.059,0.032,,2021,130.0,319.0,1.44,1.412,1.6,5889.0
Primary Transit,0.0705,0.3051,2.1097019,0.026,0.059,85.03,2019,25.88,164.47,0.97,0.9,6.34,5397.0
Primary Transit,2.37,1.396,4.720219,0.0626,0.073,85.7,2021,105.0,200.4,1.464,1.925,2.33,6274.0
Primary Transit,0.069,0.5986,95.174,0.4607,0.088,89.22,2020,263.0,399.0,,3.1,,5723.0
Primary Transit,0.0384,0.161,0.847423431,0.0171,0.0,79.5,2024,,147.5,0.913,0.83,1.7,5464.0
Primary Transit,0.0088,0.143,4.841962,,0.0,87.5,2024,,147.5,0.913,0.83,1.7,5464.0
Primary Transit,0.148,0.54,25.83839,0.1732,0.06,89.69,2024,-33.0,,,,,
Primary Transit,6.6119,0.2192,11.07085,,,89.32,2023,,42.4061,0.69,0.7,,4405.0
Primary Transit,46.0,0.86,10.57415,,,,2020,,,1.18,1.35,,6290.0
Primary Transit,1.69,1.5,4.424711,0.058,0.26,84.8,2023,305.0,139.484,1.375,1.485,,6594.0
Primary Transit,0.0239,0.1981,2.1664,0.03587,0.1353,82.6,2024,286.3,139.484,1.375,1.485,,6594.0
Primary Transit,0.03338,0.289359,1.2169,0.02,,86.64,2019,,72.75,0.71,0.78,,4507.0
Primary Transit,0.0063,0.1213,1.4520358,0.02122,,,2022,,32.5,0.59,0.66,,4266.0
Primary Transit,0.01095,0.1445,1.0697564,0.019,0.0,85.7,2023,,55.044,0.798,0.793,,4884.0
Primary Transit,0.079,1.0608,6.9561063,0.071,0.17,88.58,2023,195.0,201.84,0.987,0.923,10.7,5493.0
Primary Transit,0.028,0.3533,12.9972,0.108,0.04,89.52,2022,153.0,154.56,0.981,1.019,5.1,5840.0
Primary Transit,0.01306,0.1766,7.4341325,0.0706,0.0,88.74,2022,,41.24,0.843,0.789,,5037.0
Primary Transit,3.14,1.508,2.65022,0.047,0.01,80.4,2021,260.0,149.6,1.9,1.92,0.29,7690.0
Primary Transit,0.0302,0.1998,18.840942,0.14,0.17,89.5,2024,-95.8,,1.1,,,6008.0
Primary Transit,0.1211,0.3256,27.644,0.192,0.16,,2024,114.0,230.3,1.0,1.62,,5873.0
Primary Transit,0.005,0.1044,0.41,0.0071,,,2022,,41.2,0.29,0.31,,3330.0
Primary Transit,0.094,0.196,23.540678,0.147,0.0,,2024,,85.8,0.89,0.75,,5236.0
Primary Transit,0.01218,0.12463,0.4702694,,0.0,82.0,2021,,125.0,0.934,0.907,,5430.0
Primary Transit,0.0614,0.2453,8.112245,0.0567,0.36,89.6,2024,,73.61,0.37,0.38,,3412.0
Primary Transit,0.0478,0.2329,16.537944,0.127,0.0,,2024,,91.9362,1.04,1.028,,5800.0
Primary Transit,0.01517,0.14917,11.06201,0.061,0.0,89.77,2022,,30.5043,0.249,0.275,,3185.0
Primary Transit,0.028,0.1633,5.97199,0.0495,0.0,89.0,2021,,34.44,0.49,0.49,,3834.0
Primary Transit,0.0101,0.1142,1.8805136,0.0208,,88.47,2022,,24.72,0.339,0.344,,3496.0
Primary Transit,0.02089,0.18414,15.532482,0.0849,,89.335,2022,,24.72,0.339,0.344,,3496.0
Primary Transit,0.02303,0.1945,2.527093,0.0285,0.3,87.2,2023,,51.9503,0.471,0.469,1.3,3709.0
Primary Transit,0.02278,0.2204,18.08816,0.106,0.5,89.47,2023,,51.9503,0.471,0.469,1.3,3709.0
Primary Transit,0.031,0.348,20.772907,0.1438,0.22,,2023,6.0,62.29,1.022,0.9662,,5609.0
Primary Transit,0.0576,0.29824,52.563491,0.2669,0.23,,2023,354.0,62.29,1.022,0.9662,,5609.0
Primary Transit,0.0519,0.3711,6.36381,0.065,0.0,,2024,,121.8,0.86,0.86,,5100.0
Primary Transit,0.034,0.2186,5.254467,,0.0,,2019,,67.6203,1.09,0.99,,5958.0
Primary Transit,0.847,1.06,10.180249,0.0903,0.025,88.51,2021,100.0,153.0,0.946,1.05,9.2,5595.0
Primary Transit,2.51,1.255,5.857487,0.0643,0.262,88.09,2019,228.0,336.0,1.249,1.551,2.346,6029.0
Primary Transit,3.16,1.36,2.056014,,,90.0,2022,,,1.085,1.245,4.82,6420.0
Primary Transit,2.3,1.875,1.902603,0.039,0.01,77.84,2021,,,1.79,1.95,,7300.0
Primary Transit,1.18,1.286,2.0845435,0.0318,0.0,82.01,2020,,362.1,0.948,1.167,12.82,5404.0
Primary Transit,0.99,1.239,5.331751,0.06864,0.036,88.84,2021,180.0,336.0,1.517,2.186,2.64,5948.0
Primary Transit,0.6963,0.9225,8.7099,0.08258,0.28,,2024,,159.748,0.989,1.593,8.3,5597.0
Primary Transit,0.01545,0.1597,0.989343,0.01545,0.16,88.2,2021,,35.274,0.502,0.45,,3550.0
Primary Transit,1.22,1.489,4.231306,0.058,0.0,87.24,2019,,416.7,1.4352,1.648,1.823,6495.0
Primary Transit,0.0132,0.214,2.68005,,,,2022,,111.75,,,,
Primary Transit,0.0434,0.1838,10.98462,0.103,0.59,86.87,2022,163.6,165.72,1.21,1.316,2.53,6170.0
Primary Transit,0.58,0.97,40.7750145,0.249,0.067,88.84,2022,108.0,165.72,1.21,1.316,2.53,6170.0
Primary Transit,0.01001,0.13079,4.8026,0.03144,,89.58,2023,,,0.18,0.213,,3224.0
Primary Transit,0.025,0.232,3.05752578,0.036,,85.99,2022,,,,,,
Primary Transit,0.00979,0.1311,0.66813924,0.012,0.0,86.52,2021,,37.609,0.495,0.492,1.3,3434.0
Primary Transit,0.0459,0.2614,16.7369,0.126,0.0,,2024,,111.445,1.03,1.0,,5760.0
Primary Transit,0.0088,0.1258,1.7666957,0.0226,,,2022,,30.8,0.49,0.46,,3499.0
Primary Transit,0.0809,0.48702,3.77018,,,88.17,2022,,124.2,,,,
Primary Transit,0.0182,0.17,3.1342788,0.033548,0.1,87.2,2022,,44.99,0.54,0.53,,3630.0
Primary Transit,0.1787,0.2891,2.50031,0.0235,0.0,88.461,2022,,65.03,0.255,0.2775,,3185.0
Primary Transit,0.791,1.086,2.2554477,0.03524,0.0,80.98,2020,,412.5,1.147,1.288,4.7,5880.0
Primary Transit,0.0579,0.4595,24.283385,0.164,0.185,89.8,2022,91.0,81.1376,0.984,0.968,4.2,5665.0
Primary Transit,0.0151,0.2471,8.0824,0.081,0.0,,2024,,104.16,,,,5878.0
Primary Transit,0.0327,3.0,13.72641,0.114,0.0,,2024,,100.727,1.03,1.09,,
Primary Transit,0.08426,0.4505,3.49151,0.0391,0.057,88.31,2020,45.0,60.8,0.646,0.6243,7.1,3980.0
Primary Transit,5.41,0.965,9.47721,0.0913,0.3805,88.3,2019,57.1,336.47,1.124,1.774,7.5,5644.0
Primary Transit,0.0374,0.2721,7.073091,,0.16,,2019,,88.9482,1.0,1.408,,5656.0
Primary Transit,0.013,0.15122,8.303342,0.0742,,89.27,2023,,70.98,0.79,0.751,6.3,4922.0
Primary Transit,0.06,0.124,2.38839,0.0291,0.02,86.4,2021,131.0,99.56,0.58,0.55,,3985.0
Primary Transit,0.0066,0.1891,4.4929,0.0443,0.007,88.8,2021,103.0,99.56,0.58,0.55,,3985.0
Primary Transit,0.0135,0.2248,9.0497,0.0707,0.015,88.53,2021,217.0,99.56,0.58,0.55,,3985.0
Primary Transit,0.0538,0.2489,37.468489,0.2115,0.26,,2024,187.0,113.6,1.15,1.17,10.0,6116.0
Primary Transit,0.0522,0.2088,5.3846104,0.059,0.0,,2024,,226.7,1.02,0.95,,5700.0
Primary Transit,0.0217,0.303,20.705127,0.138,0.0,,2024,,96.62,0.88,0.8,,5170.0
Primary Transit,0.0214,0.273,18.849975,0.1176,0.0,89.2,2022,,40.12,0.61,0.6,5.0,4036.0
Primary Transit,0.302,0.776,10.2405549,0.082,0.0,,2024,,149.23,0.9,0.84,,5251.0
Primary Transit,0.0044,0.125,2.799868,0.0378,0.0,,2024,,44.65,1.02,0.95,,5724.0
Primary Transit,0.02637,0.24133,6.527282,0.072,0.23,87.8,2024,,99.0,1.17,1.31,3.85,6046.0
Primary Transit,0.7,1.4,3.208666,0.04873,,78.36,2021,,223.55,1.499,2.172,2.81,5984.0
Primary Transit,0.00472,0.10278,1.914558,0.02607,,88.8,2020,,63.0,0.65,0.651,7.1,4316.0
Primary Transit,0.01501,0.1489,3.23845,0.037,,88.4,2018,,63.0,0.65,0.651,7.1,4316.0
Primary Transit,0.00947,0.22946,6.5577,0.0592,,88.58,2018,,63.0,0.65,0.651,7.1,4316.0
Primary Transit,0.01214,0.1969,9.961881,0.0783,,88.71,2020,,63.0,0.65,0.651,7.1,4316.0
Primary Transit,0.02429,0.20403,15.231915,0.1039,,88.723,2019,,63.0,0.65,0.651,7.1,4316.0
Primary Transit,0.0124,0.256,20.7095,0.1275,,88.823,2020,,63.0,0.65,0.651,7.1,4316.0
Primary Transit,0.0274,0.27,8.765528,0.082,0.0,,2024,,135.8,1.02,1.3,,5707.0
Primary Transit,0.0205,0.2462,8.02154,0.074,0.0,,2024,,113.18,0.87,0.78,,5165.0
Primary Transit,0.0176,0.125,0.4378146,0.0107,0.0,,2024,,113.18,0.87,0.78,,5165.0
Primary Transit,0.013,0.1445,7.085738,0.071,0.0,,2024,,62.13,1.0,0.96,,5690.0
Primary Transit,0.0758,0.2436,4.1374386,0.0476,0.34,87.0,2019,357.5,38.585,0.807,0.798,0.4,5083.0
Primary Transit,0.018214,0.1865,10.64396,0.078,0.074,89.5,2019,-6.0,30.68,0.54,0.55,,3815.0
Primary Transit,0.0324,0.2668,6.293287,0.06,,88.9,2024,,119.0,0.756,0.715,1.4,4687.0
Primary Transit,0.019,0.3827,12.885779,0.097,,88.48,2024,,119.0,0.756,0.715,1.4,4687.0
Primary Transit,,0.303,15.1454693,0.0877,,,2024,,55.52,0.39,0.4,,3272.0
Primary Transit,0.00809,0.1222,0.549374,0.012,0.0,82.0,2021,,42.577,0.75,0.68,0.18,4757.0
Primary Transit,0.974,1.0,3.7130818,0.04393,0.061,86.41,2022,25.0,128.3,0.819,0.773,6.0,4673.0
Primary Transit,0.13,0.6183,4.53206,0.05578,0.19,88.4,2022,279.4,96.2338,0.781,0.74,,4994.0
Primary Transit,2.3,1.12,4.8607,0.069,0.043,85.4,2022,9.0,250.0,1.04,1.51,11.0,5734.0
Primary Transit,0.2121,0.6727,38.8,0.212,0.0,,2024,1.3,71.6456,0.77,0.822,,4926.0
Primary Transit,0.0582,0.2346,22.80857,0.149,0.0,,2024,,59.485,0.85,0.8,,5180.0
Primary Transit,0.1841,0.769,9.0941045,0.08587,0.31,,2024,,369.986,1.04,1.562,5.5,5809.0
Primary Transit,0.092,0.78188,20.38084,0.1577,0.13,,2024,,189.23,1.29,1.611,6.6,6369.0
Primary Transit,0.025,0.232,1.7727471,0.03089,0.0,,2024,90.0,189.23,1.29,1.611,6.6,6369.0
Primary Transit,0.214,1.04,9.5739,0.1,,88.4,2021,,223.47,1.46,2.02,2.49,6230.0
Primary Transit,0.040571,0.324465,1.243702,,,86.37,2019,,165.105,0.82,0.84,,4969.0
Primary Transit,1.133,1.65,1.36414864,0.02398,0.033,78.1,2024,-100.0,,,,,
Primary Transit,,0.87,63.3847,0.337,0.57,88.64,2023,80.0,223.5,1.29,1.36,,6341.0
Primary Transit,0.0069,0.1169,1.062107,0.0204,,,2022,,45.9,0.99,0.94,,5752.0
Primary Transit,,0.5041,4.50638,0.0468,,89.37,2022,,115.369,0.492,0.494,,3477.0
Primary Transit,1.6248,1.2187,6.54406,0.0728,0.04,,2024,,560.901,1.2,1.757,3.7,6232.0
Primary Transit,0.67,0.99,29.090312,0.1525,0.044,89.64,2020,307.0,128.4,0.627,0.607,7.4,3841.0
Primary Transit,2.01,1.247,0.94667944,0.01932,0.0,77.0,2022,,418.7,1.072,1.08,3.6,5814.0
Primary Transit,,0.1285,10.2152,0.1,,89.9,2023,,27.726,0.467,0.44,5.3,3650.0
Primary Transit,22.1,1.22,4.0337142,0.0613,0.0341,85.5,2023,131.6,517.0,1.86,2.3,0.94,7700.0
Primary Transit,0.17,0.81,104.87236,0.48,0.09,89.8,2023,350.0,101.7,0.936,0.82,0.8,5255.0
Primary Transit,0.0324,0.2355,3.098331,0.0426,0.0,84.73,2022,,173.6,1.074,1.113,5.1,5607.0
Primary Transit,0.2382,0.711,9.1270553,0.0875,0.064,87.94,2022,200.0,173.6,1.074,1.113,5.1,5607.0
Primary Transit,1.286,1.054,141.834025,0.5516,0.212,89.9,2023,98.8,108.26,1.112,1.075,1.9,5929.0
Primary Transit,0.0418,0.3024,3.3452,0.03,0.077,87.95,2023,-2.0,47.32,0.342,0.333,6.8,3194.0
Primary Transit,0.0289,0.2025,7.435583,,0.0,88.52,2019,,28.0,0.66,0.62,,4219.0
Primary Transit,0.0113,0.1374,11.244,,0.0,89.66,2023,,28.0,0.66,0.62,,4219.0
Primary Transit,0.1089,0.505,15.3444,0.1203,0.09,,2024,,198.0,0.987,1.797,6.0,5588.0
Primary Transit,0.42,1.0,52.97818,0.3,0.28,,2021,82.0,114.2,1.316,1.317,0.87,6394.0
Primary Transit,4.4,1.12,8.872086,0.089,0.44,88.6,2022,92.0,339.0,1.32,1.56,1.7,5880.0
Primary Transit,,0.107,52.0,,,,2018,,24.79,,,,3209.0
Primary Transit,0.6639,1.1316,9.077534,0.093,0.0,,2024,,366.962,1.157,1.723,,6125.85
Primary Transit,2.3,1.44,1.4971842,,,83.6,2022,,,1.153,1.237,0.45,6160.0
Primary Transit,,0.1838,13.79,0.19,0.13,89.41,2022,,116.39,0.83,0.79,0.3,5185.0
Primary Transit,0.0138,0.1624,7.768915,0.0632,,89.0,2023,,52.93,0.559,0.535,7.0,3710.0
Primary Transit,0.0069,0.116,0.7363104,0.0112,,,2022,,47.7,0.35,0.35,,3383.0
Primary Transit,0.0107,0.2266,10.35523,0.088,,88.9,2021,,41.906,0.849,0.758,0.3,5200.0
Primary Transit,0.0145,0.2989,21.01549,0.1411,,88.84,2021,,41.906,0.849,0.758,0.3,5200.0
Primary Transit,0.023,0.2935,35.12551,0.1988,,88.607,2021,,41.906,0.849,0.758,0.3,5200.0
Primary Transit,0.016,0.182,10.50534,0.0752,,89.34,2022,,62.31,0.54,0.534,,3800.0
Primary Transit,0.02121,0.2204,6.0784247,0.05006,,89.15,2023,,114.29,0.49,0.475,7.5,3550.0
Primary Transit,0.116,3.5,124.72997,0.472,0.0,,2024,,126.46,0.8,0.83,,4902.0
Primary Transit,0.0129,0.1115,17.774872,0.101,0.12,89.67,2023,343.0,41.917,0.465,0.453,,3662.0
Primary Transit,0.0233,0.1187,28.17221,0.137,0.13,89.9,2023,305.0,41.917,0.465,0.453,,3662.0
Primary Transit,0.006,0.11089,3.1190633,0.025,0.15,89.24,2022,245.0,48.4809,0.218,0.25,,3285.0
Primary Transit,0.0145,0.17076,6.38784,0.04,0.1,89.56,2022,200.0,48.4809,0.218,0.25,,3285.0
Primary Transit,0.83,1.211,2.4545467,0.03515,0.033,89.44,2024,153.0,,,,,
Primary Transit,5.02,1.347,0.67247414,,0.04,,2021,90.0,264.0,1.447,1.698,,6500.0
Primary Transit,0.0214,0.18931,5.7998164,0.0377,0.32,88.7,2024,,32.183,0.21,0.245,,3131.0
Primary Transit,0.02873,0.24,9.2292005,0.078,0.06,89.49,2019,109.0,22.62,0.69,0.77,,4406.0
Primary Transit,0.1318,0.6486,95.5,0.371,0.67,,2023,10.0,22.62,0.69,0.77,,4406.0
Primary Transit,0.0148,0.1865,7.85191,0.054,0.07,89.441,2022,259.52,33.36,0.34,0.34,4.6,3342.0
Primary Transit,0.076,0.2721,18.26157,0.133,0.21,89.0,2023,90.0,77.7,0.94,0.98,6.4,5659.0
Primary Transit,5.52,1.098,10.261131,0.11,0.22,88.4,2022,96.0,124.6,1.72,2.738,1.79,6189.0
Primary Transit,2.83,1.281,3.3773512,0.05064,0.057,86.42,2022,96.0,302.8,1.516,1.612,0.83,6630.0
Primary Transit,0.92,1.453,3.6240801,0.0513,0.117,83.37,2022,31.0,296.3,1.233,1.396,2.9,6280.0
Primary Transit,0.82,0.96,8.60077,0.074,0.031,85.7,2022,50.0,200.0,1.12,1.41,8.0,5673.0
Primary Transit,0.0558,0.6861,17.0991,0.1293,0.161,88.588,2019,290.6,178.89,0.77,0.747,,5045.0
Primary Transit,0.528,0.901,34.5507,0.2068,0.0062,89.792,2019,243.0,178.89,0.77,0.747,,5045.0
Primary Transit,2.755,1.01,260.158,0.828,0.368,89.955,2022,316.2,116.3,1.111,1.636,8.1,5695.0
Primary Transit,0.65,1.017,6.90683,,0.08,,2021,,,1.53,2.9,2.3,5966.0
Primary Transit,0.94,1.77,2.1225735,0.03319,0.0,79.96,2022,,345.3,1.082,1.248,5.5,5966.0
Primary Transit,0.0145456,0.177466,15.337597,,,89.27,2019,,19.5711,0.74,0.681,,4669.0
Primary Transit,0.082,0.3131,1.1947268,0.02234,0.0,81.11,2022,,263.98,1.032,1.043,4.5,5634.0
Primary Transit,0.978,1.0,11.9101,0.09564,0.042,88.4,2021,84.1,235.93,0.823,0.794,7.48,5144.0
Primary Transit,0.64,0.995,8.001968,0.0854,0.174,88.84,2022,,380.6,1.296,1.564,3.3,6101.0
Primary Transit,1.58,1.282,3.5315902,0.05,0.0,83.58,2022,,352.5,,1.66,,6228.0
Primary Transit,0.0179,0.19574,35.189346,0.145,0.496,89.786,2021,258.0,57.7911,0.33,0.311,,3430.0
Primary Transit,0.011,0.1445,0.3524728,0.0097,,,2022,,101.3,0.99,0.94,,5534.0
Primary Transit,,0.1374,2.326318,0.02,,,2024,,51.6,0.23,0.24,0.3,3200.0
Primary Transit,,0.2186,2.67963,0.05,,87.37,2020,,48.87,0.612,0.631,,3943.0
Primary Transit,0.0614,0.1552,27.26955,0.1363,0.3,89.66,2021,56.0,42.409,0.454,0.464,,3491.0
Primary Transit,0.005,0.1044,0.3862224,0.0086,,,2022,,58.1,0.56,0.57,,3813.0
Primary Transit,0.875,1.47,30.033302,0.199,0.334,88.16,2024,-39.2,125.51,1.17,1.451,10.5,5733.0
Primary Transit,0.16,0.89,17.101966,,0.06,,2024,148.75,,,,,
Primary Transit,1.0,0.9,2.99432,,0.019,,2022,300.0,,1.325,3.22,4.9,4780.0
Primary Transit,5.98,1.0,22.65398,0.158,0.676,89.5,2023,12.6,316.0,0.99,1.05,7.0,5581.0
Primary Transit,0.225,0.768,4.0197517,0.04871,0.0,88.98,2022,,218.63,0.954,0.886,3.5,5306.0
Primary Transit,0.65,0.967,5.1750073,0.05649,0.06,86.6,2024,121.0,,,,,
Primary Transit,9.3,0.93,13.33668,0.112,0.112,89.2,2023,15.0,509.0,1.04,1.1,5.9,5651.0
Primary Transit,0.17821,0.607,4.31361,0.0471,0.13,87.5,2024,,134.6,0.75,0.69,4.1,4802.0
Primary Transit,5.76,1.046,5.4693827,0.05263,0.342,88.85,2024,73.1,211.4,0.645,0.62,10.4,3707.0
Primary Transit,0.009,0.1285,5.436098,0.0341,,89.5,2020,,38.11,0.179,0.211,,3212.0
Primary Transit,1.966,1.025,2.13570304,0.0279,0.0,88.37,2024,,187.0,0.635,0.611,9.4,3943.0
Primary Transit,0.0113,0.14381,1.273114,0.0212,,85.78,2023,,80.53,0.788,0.75,6.0,5080.0
Primary Transit,0.0211,0.1945,8.465651,0.0749,0.36,97.94,2024,,80.53,0.788,0.75,6.0,5080.0
Primary Transit,0.0286,0.2623,3.0766896,0.0228,0.26,89.63,2021,279.0,55.6,0.162,0.202,,3100.0
Primary Transit,0.0123,0.1499,0.7826942,0.0144,,,2022,,59.5,0.65,0.68,,4099.0
Primary Transit,,0.2569,18.75,0.1197,,,2024,,59.5,0.65,0.68,,4099.0
Primary Transit,3.0,0.88,8.275479,0.0831,0.32,90.0,2023,30.0,,,,,
