detection_type,mass,radius,orbital_period,semi_major_axis,discovered,star_distance,star_mass,star_radius,star_teff
Primary Transit,0.975,1.277,4.641876,0.0575,2012,447.0,1.179,1.528,5743.0
Primary Transit,0.66,1.283,3.332688,0.0443,2012,543.0,1.048,1.104,5645.0
Primary Transit,0.392,1.28,4.301217,0.0507,2013,374.0,0.939,0.979,5295.0
Primary Transit,1.6,,219.9,0.699,2013,374.0,0.939,0.979,5295.0
Primary Transit,0.892,1.426,3.128992,0.0452,2013,305.0,1.259,1.319,6330.0
Primary Transit,0.493,1.284,4.463129,0.0577,2013,296.0,1.284,1.396,6120.0
Primary Transit,2.0,,77.7,0.387,2013,296.0,1.284,1.396,6120.0
Primary Transit,0.206,1.313,4.732182,0.0615,2016,268.0,1.387,1.515,6703.0
Primary Transit,0.168,1.131,4.40865,0.0543,2016,305.0,1.099,1.223,5946.0
Primary Transit,1.73,1.448,2.6915575,0.0412,2014,322.0,1.543,1.833,6820.0
Primary Transit,0.68,1.27,3.0565114,0.0446,2007,310.0,1.26,1.59,5890.0
Primary Transit,1.36,1.288,3.1220109,0.0453,2015,597.0,1.273,1.698,6280.0
Primary Transit,0.309,1.293,4.2180278,0.05069,2015,470.0,0.976,1.041,5449.0
Primary Transit,0.819,1.009,2.7535953,0.03694,2015,385.0,0.887,0.893,5131.0
Primary Transit,1.487,1.318,1.9616241,0.03159,2015,719.0,1.093,1.209,5956.0
Primary Transit,0.76,0.944,3.799847,0.04117,2014,135.8,0.645,0.617,4390.0
Primary Transit,0.582,1.182,3.5852467,0.04604,2015,480.0,1.013,1.011,5808.0
Primary Transit,2.31,1.51,2.79083,0.0423,2015,323.5,1.42,1.47,6566.0
Primary Transit,1.85,1.413,2.465295,0.0406,2015,303.0,1.47,1.5,7500.0
Primary Transit,0.372,1.332,4.013837,0.04994,2020,519.0,1.031,1.53,5931.0
Primary Transit,1.54,1.123,4.1419771,0.05064,2020,267.3,1.0,1.1,5678.0
Primary Transit,1.06,1.252,2.788491,0.04079,2007,340.0,1.163,1.137,5960.0
Primary Transit,0.574,1.631,4.7947813,0.06277,2020,235.4,1.435,2.197,6212.0
Primary Transit,1.057,0.899,1.90231289,0.0301,2020,343.2,1.004,0.938,5587.0
Primary Transit,0.761,1.073,2.6453235,0.03772,2020,353.1,1.023,1.17,5629.0
Primary Transit,0.614,1.119,3.377728,0.04294,2020,408.0,0.925,0.9661,5400.0
Primary Transit,0.58,1.703,4.007232,0.05387,2020,635.0,1.298,1.735,6457.0
Primary Transit,0.527,1.89,2.6054552,0.03951,2016,841.0,1.212,1.86,5835.0
Primary Transit,0.783,1.59,2.972086,0.04363,2016,927.0,1.255,1.881,6002.0
Primary Transit,0.34,2.085,4.8101088,0.06505,2017,371.686,1.292,2.648,6417.0
Primary Transit,0.724,1.072,2.29840551,0.02996,2020,202.0,0.6785,0.67,4508.0
Primary Transit,3.58,1.676,4.7869491,0.06555,2019,343.9,1.698,1.854,7724.0
Primary Transit,1.11,1.275,3.8529972,0.0494,2007,200.0,1.29,1.46,6570.0
