detection_type,mass,radius,orbital_period,semi_major_axis,discovered,star_distance,star_mass,star_radius,star_teff
Primary Transit,,0.14,4.16809082,,2016,896.0,0.98,0.96,5643.0
Primary Transit,,0.167,4.51436633,,2016,1352.0,1.15,1.22,6035.0
Primary Transit,,0.136,3.77360059,,2016,820.0,1.03,1.08,5976.0
Primary Transit,,0.164,8.1818246,,2016,820.0,1.03,1.08,5976.0
Primary Transit,,0.112,4.48758907,,2016,649.0,1.05,1.15,6079.0
Primary Transit,,0.502,51.92927591,,2016,1352.0,0.93,0.91,5602.0
Primary Transit,,0.135,0.56785714,,2016,625.0,0.81,0.77,5039.0
Primary Transit,,0.188,6.88337562,,2016,954.0,0.98,0.97,5698.0
Primary Transit,0.03823,0.363,26.44,0.1683,2012,927.97,0.91,0.9,5428.0
Primary Transit,0.04373,0.476,51.54,0.2626,2012,927.97,0.91,0.9,5428.0
Primary Transit,,0.158,2.382961,0.034,2014,927.97,0.91,0.9,5428.0
Primary Transit,,0.22,5.902206,0.063,2014,927.97,0.91,0.9,5428.0
Primary Transit,,0.152,11.29695137,,2016,1122.0,1.07,1.11,6037.0
Primary Transit,,0.113,5.62153941,,2016,577.0,0.99,0.97,5732.0
Primary Transit,,0.184,7.1396941,,2016,1346.0,0.92,0.9,5596.0
Primary Transit,,0.18,18.7546998,,2016,421.0,0.64,0.62,4339.0
Primary Transit,,0.18,13.32388301,,2016,620.0,0.7,0.66,4554.0
Primary Transit,,0.249,11.41909375,,2016,2011.0,1.08,1.11,5954.0
Primary Transit,,0.244,11.36112327,,2016,1003.0,1.03,1.04,5895.0
Primary Transit,,0.228,16.56059504,,2016,846.0,0.85,0.81,5403.0
Primary Transit,,0.244,15.74957994,,2016,1210.0,0.98,0.96,5770.0
Primary Transit,,0.229,37.8144514,,2016,833.0,1.22,1.31,6058.0
Primary Transit,,0.1989,9.7704486,0.0714,2012,400.409,0.58,0.56,4082.0
Primary Transit,,0.2007,20.09017037,0.1154,2012,400.409,0.58,0.56,4082.0
Primary Transit,,0.1481,5.169804269,0.0467,2014,400.409,0.58,0.56,4082.0
Primary Transit,,0.467,124.4198398,,2016,1052.0,0.85,0.81,5324.0
Primary Transit,,0.143,1.21956827,,2016,552.0,0.78,0.73,4848.0
Primary Transit,,0.231,2.05387982,,2016,1247.0,1.02,1.03,5830.0
Primary Transit,,0.15,2.61302086,,2016,394.0,0.59,0.57,4128.0
Primary Transit,,0.182,0.92785982,,2016,471.0,0.79,0.75,4913.0
Primary Transit,,0.221,19.80792185,,2016,1233.0,0.94,0.91,5579.0
Primary Transit,,0.1053,2.3432319,0.0315,2016,529.0,0.76,0.825,4746.0
Primary Transit,,0.152,6.91134416,,2016,797.0,1.01,1.2,5695.0
Primary Transit,,0.637,394.6244904,,2016,747.0,1.23,1.64,6059.0
Primary Transit,,0.2552,8.72585478,0.0827,2012,1053.44,0.987,1.131,6036.0
Primary Transit,0.0636,0.281,12.88291395,0.1072,2012,1053.44,0.987,1.131,6036.0
Primary Transit,,0.143,4.22453631,0.051,2014,1053.44,0.987,1.131,6036.0
Primary Transit,,0.2284,27.4345973,0.1774,2014,1053.44,0.987,1.131,6036.0
Primary Transit,,0.2043,44.5520266,0.2451,2014,1053.44,0.987,1.131,6036.0
Primary Transit,,0.159,7.19303878,,2016,1535.0,1.06,1.09,5932.0
Primary Transit,,0.15,8.50699658,,2016,869.0,0.89,0.85,5455.0
Primary Transit,,0.227,44.9309804,,2016,854.0,1.19,1.16,6100.0
Primary Transit,,0.151,7.16892463,,2016,610.0,1.3,1.55,6350.0
Primary Transit,,0.745,7.8866311,,2016,1043.0,1.03,1.03,5835.0
Primary Transit,,0.83,8.02768059,,2016,1175.0,0.96,0.93,5535.0
Primary Transit,,0.607,85.35129427,,2016,1039.0,0.99,0.99,5773.0
Primary Transit,,0.434,76.13602028,,2016,296.0,0.96,0.91,5653.0
Primary Transit,,0.276,20.38177573,,2016,915.0,0.81,0.77,5020.0
Primary Transit,0.0465,0.176,8.306,0.07891,2012,782.09,0.95,0.89,5436.0
Primary Transit,0.059,0.194,12.513,0.10369,2012,782.09,0.95,0.89,5436.0
Primary Transit,,0.107,17.91323,0.13,2014,782.09,0.95,0.89,5436.0
Primary Transit,,0.113,25.216751,0.163,2014,782.09,0.95,0.89,5436.0
Primary Transit,,0.289,5.10137945,,2016,1295.0,1.04,1.06,5836.0
Primary Transit,,0.203,3.94963138,,2016,806.0,0.82,0.78,5047.0
Primary Transit,,0.197,3.14866453,,2016,806.0,0.88,0.84,5333.0
Primary Transit,,0.259,15.59461874,,2016,1145.0,0.96,0.95,5678.0
Primary Transit,,0.214,5.83376092,,2016,1573.0,1.0,1.0,5754.0
Primary Transit,,0.222,14.16399294,,2016,664.0,0.93,0.92,5570.0
Primary Transit,,0.145,2.61703254,,2016,690.0,0.75,0.71,4751.0
Primary Transit,,0.414,150.242127,,2016,824.0,0.92,0.91,5541.0
Primary Transit,,0.183,5.03251791,,2016,1269.0,0.93,0.89,5614.0
Primary Transit,,0.322,40.4287755,,2016,957.0,0.97,0.95,5664.0
Primary Transit,0.34235,0.8466,282.5254,0.824,2013,,0.94,1.0,5629.0
Primary Transit,,0.248,21.3587621,,2016,1231.0,1.01,1.02,5857.0
Primary Transit,,0.334,22.0459018,,2016,1695.0,1.11,1.14,5993.0
Primary Transit,,0.178,2.57885507,,2016,1114.0,1.05,1.08,5902.0
Primary Transit,,0.335,20.5533844,,2016,1397.0,1.18,1.27,6163.0
Primary Transit,,0.352,40.0686727,,2016,1072.0,1.09,1.13,6020.0
Primary Transit,,0.259,27.5073799,,2016,1244.0,1.06,1.11,5958.0
Primary Transit,,0.128,5.14438011,,2016,735.0,0.81,0.77,5060.0
Primary Transit,,0.189,18.45847097,,2016,572.0,0.85,0.81,5261.0
Primary Transit,,0.172,25.9422033,,2016,567.0,0.81,0.77,5044.0
Primary Transit,,0.229,33.3855938,,2016,802.672,1.0,1.087,5644.0
Primary Transit,1.02,1.204,114.73635,0.481,2013,1277.88,1.1,1.82,5600.0
Primary Transit,0.02,0.548,191.2318,0.676,2013,1277.88,1.1,1.82,5600.0
Primary Transit,,0.237,7.71468975,,2016,673.0,1.46,1.74,6761.0
Primary Transit,,0.159,4.44448017,,2016,1364.0,1.06,1.09,5961.0
Primary Transit,,0.11,3.98953967,,2016,525.0,0.9,0.87,5476.0
Primary Transit,,0.159,12.98495573,,2016,549.0,1.06,1.09,6116.0
Primary Transit,,0.11,5.69919514,,2016,476.733,1.0,0.9576,5821.17
Primary Transit,,0.223,18.11472949,,2016,632.0,1.21,1.35,6187.0
Primary Transit,,0.136,6.24146367,,2016,857.0,1.1,1.16,6098.0
Primary Transit,,0.164,20.42228798,,2016,831.0,1.19,1.29,6194.0
Primary Transit,,0.101,7.63846023,,2016,831.0,1.19,1.29,6194.0
Primary Transit,,0.157,70.6979061,,2016,413.0,0.97,0.9,5875.0
Primary Transit,,0.097,3.744439,,2016,513.0,1.14,1.25,5961.0
Primary Transit,0.03,0.307,10.91647,,2013,339.0,0.99,0.9,5466.0
Primary Transit,0.674,,22.26492,0.1529,2013,339.0,0.99,0.9,5466.0
Primary Transit,,0.793,52.75875577,,2016,1387.0,1.09,1.13,5954.0
Primary Transit,,0.572,53.44945593,,2016,1372.0,1.06,1.07,5887.0
Primary Transit,,0.251,13.7521072,,2016,640.0,0.75,0.72,4747.0
Primary Transit,,0.27,6.33855761,,2016,1216.0,1.0,0.99,5820.0
Primary Transit,,0.248,9.803224,,2016,1090.0,0.87,0.85,5603.0
Primary Transit,,0.137,2.80624233,,2016,516.0,0.65,0.61,4315.0
Primary Transit,,0.226,144.547396,,2016,2334.93,0.92,2.043,5328.0
Primary Transit,,0.213,8.0472642,,2016,1147.0,1.03,1.04,5839.0
Primary Transit,,0.133,5.8706191,,2016,479.0,0.65,0.62,4223.0
Primary Transit,,0.239,19.17891293,,2016,1038.0,0.93,0.91,5595.0
Primary Transit,0.018115,0.14613,3.743208,0.05119,2013,477.052,1.183,1.4286,6184.0
Primary Transit,0.019528,0.34473,10.423648,0.1013,2013,477.052,1.183,1.4286,6184.0
Primary Transit,0.2504561,0.91989,22.342989,0.1684,2013,477.052,1.183,1.4286,6184.0
Primary Transit,0.0254662,0.54564,54.32031,0.3046,2013,477.052,1.183,1.4286,6184.0
Primary Transit,0.59,1.416,3.5224991,0.0474,2010,1052.9,1.21,1.49,6213.0
Primary Transit,,0.186,6.9913086,,2016,505.0,0.78,0.73,4836.0
Primary Transit,,0.122,3.51749439,,2016,241.0,0.59,0.57,4184.0
Primary Transit,,0.227,40.1099547,,2016,904.0,0.95,0.93,5647.0
Primary Transit,,0.179,10.3507721,,2016,829.0,0.98,0.97,5682.0
Primary Transit,,0.226,62.9228557,,2016,829.0,0.98,0.97,5682.0
Primary Transit,,0.158,3.02166863,,2016,1151.0,1.16,1.25,6160.0
Primary Transit,,0.126,5.08274652,,2016,521.0,0.95,0.86,5461.0
Primary Transit,,0.188,41.6979976,,2016,758.0,1.06,1.02,6035.0
Primary Transit,,0.107,15.86621821,,2016,352.0,1.08,1.38,6106.0
Primary Transit,,0.1035,1.340596782,0.0247,2016,290.843,0.919,1.59,5327.99
Primary Transit,,0.131,13.93290318,,2016,318.0,1.17,1.23,6154.0
Primary Transit,,0.117,7.008151,0.074,2013,780.0,1.2,1.2,6080.0
Primary Transit,,0.106,8.719375,0.089,2013,780.0,1.2,1.2,6080.0
Primary Transit,,0.256,59.73667,0.32,2013,780.0,1.2,1.2,6080.0
Primary Transit,,0.237,91.93913,0.42,2013,780.0,1.2,1.2,6080.0
Primary Transit,,0.257,124.9144,0.48,2013,780.0,1.2,1.2,6080.0
Primary Transit,,0.723,210.60697,0.71,2013,780.0,1.2,1.2,6080.0
Primary Transit,,1.008,331.60059,1.01,2013,780.0,1.2,1.2,6080.0
Primary Transit,,0.118,14.44912,0.2,2017,780.0,1.2,1.2,6080.0
Primary Transit,,0.073,2.36436901,,2016,402.0,1.26,1.5,6230.0
Primary Transit,,0.232,20.310501,,2016,567.0,1.34,1.99,6112.0
Primary Transit,,0.25,2.53475627,,2016,1265.0,1.07,1.11,5998.0
Primary Transit,,0.184,10.29672521,,2016,991.618,0.95,0.814,5440.0
Primary Transit,,0.34419,5.939119816,0.0699,2017,991.618,0.95,0.814,5440.0
Primary Transit,,0.123,4.40966548,,2016,678.0,1.1,1.15,5877.0
Primary Transit,,0.134,4.59489604,,2016,806.0,1.21,1.38,6173.0
Primary Transit,,0.157,32.2968798,,2016,769.0,0.85,0.81,5248.0
Primary Transit,,0.17,2.97041437,,2016,1027.0,0.8,0.76,5418.0
Primary Transit,,0.155,4.85386933,,2016,1245.0,1.11,1.14,6028.0
Primary Transit,,0.201,11.04603384,,2016,1219.0,1.15,1.21,6113.0
Primary Transit,0.81,1.367,6.24658,0.0731,2013,1344.56,1.31,6.3,4550.0
Primary Transit,,0.216,6.53192704,,2016,926.0,0.89,0.85,5403.0
Primary Transit,,0.339,100.8274113,,2016,926.0,0.89,0.85,5403.0
Primary Transit,,0.256,51.300634,,2016,847.0,0.93,0.91,5663.0
Primary Transit,,0.127,0.93846683,,2016,558.0,0.95,0.93,5671.0
Primary Transit,,0.123,6.93366476,,2016,966.0,1.11,1.26,5988.0
Primary Transit,,0.274,61.0370117,,2016,995.0,1.14,1.23,6167.0
Primary Transit,,0.209,33.8678531,,2016,623.0,0.77,0.72,4673.0
Primary Transit,,0.206,52.0688601,,2016,771.0,1.01,1.01,5806.0
Primary Transit,,0.153,9.1149903,,2016,879.0,0.99,0.99,5743.0
Primary Transit,,0.1472,3.93246069,0.0444,2016,508.809,0.733,0.682,4621.0
Primary Transit,,0.099,0.92103214,,2016,820.0,1.01,1.02,5869.0
Primary Transit,0.202,0.313,13.749,,2013,484.62,1.209,1.53,5883.0
Primary Transit,0.019,0.232,26.723,,2013,484.62,1.209,1.53,5883.0
Primary Transit,,0.184,49.3568,,2015,484.62,1.209,1.53,5883.0
Primary Transit,,0.19,71.4517775,,2016,905.0,1.25,1.4,6335.0
Primary Transit,,0.119,8.03755877,,2016,490.0,0.86,0.81,5241.0
Primary Transit,,0.122,1.9214374,,2016,478.0,0.87,0.84,5331.0
Primary Transit,,0.219,14.20443009,,2016,922.0,0.87,0.84,5346.0
Primary Transit,,0.186,55.6738309,,2016,603.0,0.81,0.77,5001.0
Primary Transit,,0.12,4.88083852,,2016,482.0,0.78,0.73,4830.0
Primary Transit,,0.129,10.56134221,,2016,687.0,0.92,0.89,5482.0
Primary Transit,,0.332,67.668827,,2016,1482.0,1.15,1.22,6095.0
Primary Transit,,0.238,153.343364,,2016,1482.0,1.15,1.22,6095.0
Primary Transit,,0.198,52.6298417,,2016,861.0,0.92,0.89,5533.0
Primary Transit,,0.156,14.878296,,2016,1029.0,0.88,0.85,5471.0
Primary Transit,0.0143,0.14,4.72674,0.053,2014,96.18,1.09,0.98,5669.0
Primary Transit,,0.298,59.6225257,,2016,1317.0,0.97,0.96,5769.0
Primary Transit,,0.275,17.42395198,,2016,1105.0,0.89,0.86,5539.0
Primary Transit,,0.19,44.96417488,,2016,218.0,0.81,0.75,4861.0
Primary Transit,,0.529,49.7701438,0.2672,2016,1239.0,0.93,0.91,5612.0
Primary Transit,,0.235,43.3167737,,2016,1035.0,0.86,0.83,5409.0
Primary Transit,,0.235,31.0033814,,2016,1543.0,0.97,0.97,5718.0
Primary Transit,,0.172,11.79162572,,2016,918.0,0.94,0.93,5665.0
Primary Transit,,0.203,26.9644317,,2016,1188.0,0.9,0.87,5508.0
Primary Transit,,0.165,7.76846622,,2016,868.017,0.96,0.97,5501.23
Primary Transit,,0.26,8.6893073,,2016,572.0,0.89,0.86,5403.0
Primary Transit,0.034,0.313,2.50806,,2014,192.97,0.81,0.76,4781.0
Primary Transit,,0.801,98.7180406,,2016,1489.0,1.02,1.02,5857.0
Primary Transit,,0.5139,71.52543938,0.3091,2016,382.509,0.77,0.73,4834.0
Primary Transit,,0.682,130.3546919,,2016,1167.0,1.0,0.99,5730.0
Primary Transit,,0.376,88.40655258,0.19757,2016,240.0,0.95,0.99,5416.0
Primary Transit,,0.106,9.10967112,,2016,240.0,0.95,0.99,5416.0
Primary Transit,,0.207,16.78176602,,2016,224.0,0.82,0.76,4990.0
Primary Transit,,0.279,14.53244172,,2016,637.0,0.89,0.84,5350.0
Primary Transit,,0.268,5.24867263,,2016,631.0,1.1,1.15,6040.0
Primary Transit,,0.491,5.90741354,,2016,749.0,0.81,0.75,4963.0
Primary Transit,,0.184,9.7678805,,2016,467.0,0.91,0.86,5421.0
Primary Transit,,0.391,14.80074836,,2016,1003.0,1.6,2.01,7005.0
Primary Transit,0.041,0.305,11.5231,,2014,451.38,1.08,1.41,5699.0
Primary Transit,,0.204,3.12686223,,2016,298.0,0.77,0.72,4755.0
Primary Transit,,0.227,16.87727414,,2016,607.0,0.96,0.9,5582.0
Primary Transit,,0.176,12.05707239,,2016,439.0,0.93,0.86,5478.0
Primary Transit,,0.237,9.97683705,,2016,771.494,0.93,0.898,5352.0
Primary Transit,,0.05781,0.919786,,2023,771.494,0.93,0.898,5352.0
Primary Transit,,0.189,13.5225106,,2016,478.0,0.93,0.84,5427.0
Primary Transit,,0.302,134.2527298,,2016,618.0,1.05,1.15,5886.0
Primary Transit,,0.368,99.747622,,2016,773.0,1.02,1.02,5840.0
Primary Transit,,0.21,13.22713379,,2016,501.87,0.825,0.8,5178.0
Primary Transit,,0.326,198.7112502,,2016,501.87,0.825,0.8,5178.0
Primary Transit,,0.178,3.69298373,,2016,312.0,0.76,0.7,4598.0
Primary Transit,,0.151,5.70940492,,2016,312.0,0.76,0.7,4598.0
Primary Transit,,0.2302,7.68433346,0.0634,2017,312.0,0.76,0.7,4598.0
Primary Transit,,0.185,34.1731714,,2016,411.0,0.92,0.82,5214.0
Primary Transit,,0.088,1.6829346,,2016,411.0,0.92,0.82,5214.0
Primary Transit,0.027,0.238,16.2385,,2014,123.32,1.0,1.02,5690.0
Primary Transit,,0.23276,16.736525,0.139,2016,331.545,0.67,0.71,4290.0
Primary Transit,,0.19,9.59070716,,2016,338.522,0.97,0.777,5513.7
Primary Transit,,0.415,7.03932553,,2016,1304.0,1.15,1.22,6146.0
Primary Transit,,0.175,49.6077331,,2016,297.0,0.86,0.78,5213.0
Primary Transit,,0.14,4.19449651,,2016,121.0,0.52,0.5,3687.0
Primary Transit,,0.3542,1.970340203,0.0303,2016,426.088,0.77,0.807,4783.72
Primary Transit,,0.50353,5.05821338,0.0567,2017,426.088,0.77,0.807,4783.72
Primary Transit,,0.353,105.9564148,,2016,1020.0,0.87,0.83,5232.0
Primary Transit,,0.234,26.85328322,,2016,664.0,0.87,0.83,5315.0
Primary Transit,,0.267,49.6221509,,2016,624.0,1.07,1.09,6002.0
Primary Transit,,0.243,8.0880135,,2016,606.0,0.87,0.83,5310.0
Primary Transit,0.011,0.132,2.58664,,2014,405.58,0.94,0.98,5779.0
Primary Transit,,0.238,11.55102504,,2016,804.0,1.05,1.06,5935.0
Primary Transit,,0.206,4.46975774,,2016,913.0,0.98,0.96,5718.0
Primary Transit,,0.201,15.7738221,,2016,702.0,1.16,1.29,6139.0
Primary Transit,,0.211,60.0855082,,2016,655.0,1.13,1.08,6052.0
Primary Transit,,0.189,43.0342272,,2016,461.0,0.96,0.93,5610.0
Primary Transit,,0.266,116.331901,,2016,741.0,0.91,0.85,5434.0
Primary Transit,,0.211,56.4349938,,2016,563.0,0.96,0.98,5642.0
Primary Transit,,0.291,105.3033148,,2016,936.0,0.97,0.91,5637.0
Primary Transit,,0.185,17.76080053,,2016,248.0,0.55,0.53,4005.0
Primary Transit,,0.197,7.96431535,,2016,484.0,0.82,0.78,5074.0
Primary Transit,0.011,0.178,1.54168,,2014,353.87,0.99,1.11,5539.0
Primary Transit,,0.232,9.91723428,,2016,933.0,1.05,1.08,5948.0
Primary Transit,,0.136,0.53835431,,2016,933.0,1.05,1.08,5948.0
Primary Transit,,0.227,82.5342519,,2016,370.0,0.64,0.61,4392.0
Primary Transit,,0.145,20.16034462,,2016,268.0,0.8,0.74,4944.0
Primary Transit,,0.265,22.08557563,,2016,298.0,0.57,0.54,3843.0
Primary Transit,,0.143,1.15116651,,2016,170.0,0.56,0.54,3934.0
Primary Transit,,0.241,28.26731672,,2016,659.0,0.83,0.8,5206.0
Primary Transit,,0.177,3.77059058,,2016,1098.0,1.09,1.14,6014.0
Primary Transit,,0.121,2.70730672,,2016,470.0,1.22,1.56,6150.0
Primary Transit,,0.207,5.65377733,,2016,996.0,1.12,1.18,6058.0
Primary Transit,,0.2453,5.99185827,0.0681,2016,568.0,1.29,1.65,6237.0
Primary Transit,0.0119971,0.16166,4.60358,0.05069,2014,208.369,0.769,0.745,4774.0
Primary Transit,0.13655,0.74,19.23891,0.143,2010,614.0,1.02,0.96,5774.0
Primary Transit,0.09408,0.721,38.9853,0.227,2010,614.0,1.02,0.96,5774.0
Primary Transit,0.016518264481,0.146,1.592851,0.0273,2010,614.0,1.02,0.96,5774.0
Primary Transit,,0.65,707.3793,1.6,2013,,1.1,2.12,5030.0
Primary Transit,,0.36,287.363,0.85,2013,,1.01,2.08,5273.0
Primary Transit,,0.228,736.3819,1.54,2013,,0.87,0.82,5420.0
Primary Transit,,0.62,904.24,1.86,2013,1148.765,1.08,1.66732,5930.0
Primary Transit,,0.51,276.88,0.78,2013,,0.82,0.8,5313.0
Primary Transit,,0.11,757.1639,1.98,2013,,1.79,1.3,8719.0
Primary Transit,,1.14,644.1685,1.52,2013,,1.13,1.99,5755.0
Primary Transit,,0.74,281.5848,0.78,2013,,0.8,0.75,5233.0
Primary Transit,,1.124,440.3984,,2015,,0.95,1.45,5359.0
Primary Transit,,0.34,466.202,1.12,2013,,0.86,0.89,5602.0
Primary Transit,,0.4,697.0159,1.46,2013,,0.86,0.78,5640.0
Primary Transit,0.01469,,,3.02,2022,6640.0,0.74,,
Primary Transit,0.00271,0.0946,0.910022,,2013,,0.632,0.574,4433.0
Primary Transit,62.14,0.79,166.78805,0.593,2013,962.56,0.94,1.25,5810.0
Primary Transit,,0.164,147.6606,0.419,2015,276.226,0.553,0.559,3748.0
Primary Transit,,0.0928,449.01499,1.137,2017,,0.972,1.068,6031.0
Primary Transit,,0.1169,19.5960013,0.1421,2017,,0.996,1.024,6120.0
Primary Transit,,0.132,49.537365,0.2637,2017,,0.996,1.024,6120.0
Primary Transit,,0.062,0.941967,,2017,936.341,0.92,0.952,5544.0
Primary Transit,,0.146,212.60398,0.7026,2017,,1.022,1.207,5834.0
Primary Transit,,0.0589,7.05186,0.075,2013,,,1.747,5753.0
Primary Transit,,0.061,3.09872371,0.0313,2017,,0.427,0.41,3627.0
Primary Transit,,0.83,486.77832,1.4638,2017,,1.765,4.95,5039.0
Primary Transit,,0.131,0.813998777,0.0168,2017,,0.945,0.989,5705.0
Primary Transit,,0.136,129.839927,0.5085,2017,,1.035,1.032,6133.0
Primary Transit,,0.109,28.2682167,0.1779,2017,,0.939,0.838,5496.0
Primary Transit,,0.086,14.7638878,0.1093,2017,,0.798,0.742,5547.0
Primary Transit,,0.068,1.118507672,0.0208,2017,,0.953,0.863,5918.0
Primary Transit,,0.0928,2.28494299,0.0321,2017,,0.84,0.793,5393.0
Primary Transit,,0.075,3.62658665,0.0443,2017,,0.886,0.799,5411.0
Primary Transit,,0.3,2.64182865,0.0348,2017,,0.805,2.935,5195.0
Primary Transit,,0.55,0.902403563,0.0172,2017,,0.826,0.755,5776.0
Primary Transit,,0.11,8.79986138,0.0729,2017,,0.668,0.675,4298.0
Primary Transit,,0.11,6.8777602,0.0727,2017,,1.078,1.106,6276.0
Primary Transit,,0.084,12.9489256,0.0882,2017,,0.545,0.525,3867.0
Primary Transit,,0.106,2.54029506,0.0368,2017,,1.028,0.911,5778.0
Primary Transit,,0.198,22.2546864,0.1645,2017,,1.197,2.388,5349.0
Primary Transit,,0.106,0.772807044,0.0143,2017,,0.659,0.668,4535.0
Primary Transit,,0.529,0.61932352,0.016,2017,,1.434,1.844,7105.0
Primary Transit,,0.136,1.01486138,0.0203,2017,,1.08,1.024,6158.0
Primary Transit,,2.6987,279.012698,0.859,2017,,1.08,1.143,6338.0
Primary Transit,,0.12,16.234743,0.1334,2017,,1.2,1.178,6475.0
Primary Transit,,0.131,1.74147417,0.0268,2017,,0.855,0.763,5227.0
Primary Transit,,0.076,8.2553601,0.0818,2017,,1.066,1.113,6357.0
Primary Transit,,0.087,17.1677675,0.1058,2017,,0.535,0.526,3761.0
Primary Transit,,0.062,8.502285,0.0722,2017,,0.693,0.715,4889.0
Primary Transit,,0.174,17.9908748,0.1208,2017,,0.727,0.752,4918.0
Primary Transit,,1.252,1.322475635,0.0193,2017,,0.548,0.548,4668.0
Primary Transit,,0.218,3.773744,0.0536,2017,,1.44,2.069,7302.0
Primary Transit,,0.136,5.70509845,0.0599,2017,,0.88,0.927,5455.0
Primary Transit,1.09,1.03,1.706291,0.0269,2018,,0.892,0.907,5165.0
Primary Transit,0.01265,0.1392,1.40152634,0.0208,2020,25.1496,0.614,0.604,3842.0
Primary Transit,0.0013,0.0758,2.2531136,0.02191,2018,10.623,0.32,0.291,3500.0
Primary Transit,0.00698,0.12356,3.6906777,0.0304,2018,10.623,0.32,0.291,3500.0
Primary Transit,0.0061,0.1357,7.4507245,0.0486,2018,10.623,0.32,0.291,3500.0
Primary Transit,0.02196,0.15407,24.736,0.0936,2017,12.47,0.146,0.186,3131.0
Primary Transit,0.00569,0.11437,3.777931,0.02675,2018,12.47,0.146,0.186,3131.0
Primary Transit,0.00733,0.1106,1.9495378,0.01848,2021,18.21,0.236,0.246,3381.0
Primary Transit,0.00019,0.06111,0.8602325,0.01239,2021,19.89,0.345,0.329,3490.0
Primary Transit,0.00123,0.08395,3.694284,0.0327,2021,19.89,0.345,0.329,3490.0
Primary Transit,0.00289,0.08752,4.9652229,0.04,2024,19.89,0.345,0.329,3490.0
Primary Transit,0.0132,0.09707,3.81433,0.0404,2020,29.87,0.502,0.501,3643.0
Primary Transit,,0.1178,0.46292792,0.00623,2018,14.9,0.154,0.189,3036.0
Primary Transit,0.00308,0.0883,2.029088,,2023,12.481,0.262,0.2789,3312.0
Primary Transit,0.0969,0.419,4.052037,0.0417,2020,52.7,0.59,0.584,3950.0
Primary Transit,,0.0999,0.948005,0.00969,2019,26.493,0.139,0.17,2960.0
Primary Transit,0.0223,0.2061,4.989963,0.029392,2019,26.493,0.139,0.17,2960.0
Primary Transit,0.0028,0.0919,,,2023,26.493,0.139,0.17,2960.0
Primary Transit,0.0415,0.1178,2.7299025,0.01875,2022,32.33,0.118,0.1556,2850.0
Primary Transit,0.0796,0.12196,8.457463,0.03984,2022,32.33,0.118,0.1556,2850.0
Primary Transit,0.009,0.116,5.358766,0.03813,2019,6.9,0.256,0.27,3340.0
Primary Transit,0.00485,0.10233,3.1239035,0.0266,2020,6.9,0.256,0.27,3340.0
Primary Transit,0.09225,0.4211,0.7920641,0.01679,2019,80.6,1.0,0.92,5445.0
Primary Transit,3.7,1.5,2.14878,0.043,2017,188.7,1.72,2.1,7554.0
Primary Transit,5.18,1.272,5.5514926,0.06971,2019,96.79,1.309,1.513,6347.0
Primary Transit,1.675,1.53,2.82406,0.047,2019,171.54,1.75,1.92,7800.0
Primary Transit,2.162,1.205,0.7668944,0.0143,2020,,0.696,0.697,4400.0
Primary Transit,0.37,0.823,35.455285,0.2,2020,191.5,0.862,0.832,5050.0
Primary Transit,,0.419,12.77,,2022,191.5,0.862,0.832,5050.0
Primary Transit,0.208,1.048,7.532806,0.0757,2020,452.0,1.021,1.589,5690.0
Primary Transit,4.84,1.142,4.119027,0.0549,2021,657.0,1.3,1.788,5918.0
Primary Transit,0.092,0.44,3.5357173,0.0403,2021,325.1,0.898,0.842,5187.0
Primary Transit,0.751,1.1,3.27623,0.0441,2021,791.0,0.995,0.954,5600.0
Primary Transit,0.667,1.3,4.84532,0.0523,2021,892.0,1.002,1.213,5550.0
Primary Transit,0.764,1.24,3.24253,0.0391,2021,1047.0,1.025,1.337,5650.0
Primary Transit,0.409,1.21,3.05125,0.0448,2021,1108.0,1.003,1.392,5610.0
Primary Transit,0.812,1.33,2.647298,0.0326,2017,224.0,0.617,0.573,3916.0
Primary Transit,2.98,1.07,54.18915,0.313,2022,366.2,1.47,1.78,5980.0
Primary Transit,2.36,1.33,1.5433897,0.0236,2022,641.0,0.72,0.86,4660.0
Primary Transit,0.613,1.267,4.076,0.0504,2022,991.0,1.01,1.24,6057.0
Primary Transit,0.52,1.214,3.4678796,0.0479,2022,723.0,1.26,1.64,5820.0
Primary Transit,0.639,1.023,2.823093,0.0388,2022,517.0,0.91,0.86,5321.0
Primary Transit,0.29,1.33,4.5199279,0.049,2024,1107.0,0.96,1.16,5550.0
Primary Transit,0.593,1.396,3.3704181,0.0446,2024,977.0,1.07,1.77,5700.0
Primary Transit,0.39,0.857,69.33684,0.347,2024,149.4,1.034,1.006,5730.0
Primary Transit,0.67,1.536,4.5111204,0.0584,2018,360.3,1.64,1.702,6478.0
Primary Transit,0.96,0.93,98.29838,0.408,2024,233.9,0.94,0.913,5455.0
Primary Transit,1.12,1.61,4.162734,0.064,2021,,,,
Primary Transit,0.57,1.42,3.31211,0.044,2024,,,,
Primary Transit,3.63,1.64,2.827972,0.048,2024,,,,
Primary Transit,2.38,1.48,1.6753728,0.023,2018,1010.0,1.017,0.93,5570.0
Primary Transit,0.0648,0.2837,1.3373508,0.019,2018,282.6,0.75,0.84,5143.0
Primary Transit,0.229,1.136,3.3569866,0.0382,2019,309.5,0.661,0.739,4987.0
Primary Transit,1.33,1.271,0.882058,0.016623018,2019,311.0,0.7876,0.656,4410.0
